Country,State,State lgd code,Year,Gender,Age group,Type of area,Worker Population Ratio (WPR)_avg,Worker Population Ratio (WPR)_max,Worker Population Ratio (WPR)_min,Worker Population Ratio (WPR)_sum,Worker Population Ratio (WPR)_count,Worker Population Ratio (WPR)_stddev,Worker Population Ratio (WPR)_LandAreaWeight,Worker Population Ratio (WPR)_TotalPopulationWeight,Worker Population Ratio (WPR)_NumberOfHouseholdsWeight,Worker Population Ratio (WPR)_TotalPopulationMaleWeight,Worker Population Ratio (WPR)_TotalPopulationFemaleWeight
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Female,15-29,Rural,15.2,15.2,15.2,15.2,1,,,15.2,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Female,15-29,Total,14.6,14.6,14.6,14.6,1,,,14.6,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Female,15-29,Urban,11.7,11.7,11.7,11.7,1,,,11.7,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Female,15-59,Rural,26.9,26.9,26.9,26.9,1,,,26.9,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Female,15-59,Total,25.3,25.3,25.3,25.3,1,,,25.3,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Female,15-59,Urban,17.2,17.2,17.2,17.2,1,,,17.2,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Female,15 years and above,Rural,24.2,24.2,24.2,24.2,1,,,24.2,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Female,15 years and above,Total,22.8,22.8,22.8,22.8,1,,,22.8,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Female,15 years and above,Urban,15.8,15.8,15.8,15.8,1,,,15.8,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Female,all years,Rural,18.4,18.4,18.4,18.4,1,,,18.4,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Female,all years,Total,17.5,17.5,17.5,17.5,1,,,17.5,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Female,all years,Urban,12.6,12.6,12.6,12.6,1,,,12.6,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Male,15-29,Rural,51.8,51.8,51.8,51.8,1,,,51.8,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Male,15-29,Total,50.5,50.5,50.5,50.5,1,,,50.5,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Male,15-29,Urban,43.7,43.7,43.7,43.7,1,,,43.7,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Male,15-59,Rural,79.3,79.3,79.3,79.3,1,,,79.3,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Male,15-59,Total,78.2,78.2,78.2,78.2,1,,,78.2,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Male,15-59,Urban,73.0,73.0,73.0,73.0,1,,,73.0,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Male,15 years and above,Rural,74.6,74.6,74.6,74.6,1,,,74.6,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Male,15 years and above,Total,73.4,73.4,73.4,73.4,1,,,73.4,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Male,15 years and above,Urban,67.4,67.4,67.4,67.4,1,,,67.4,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Male,all years,Rural,53.6,53.6,53.6,53.6,1,,,53.6,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Male,all years,Total,53.6,53.6,53.6,53.6,1,,,53.6,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Male,all years,Urban,53.5,53.5,53.5,53.5,1,,,53.5,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Persons,15-29,Rural,32.7,32.7,32.7,32.7,1,,32.7,32.7,32.7,32.7,32.7
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Persons,15-29,Total,31.6,31.6,31.6,31.6,1,,31.6,31.6,31.6,31.6,31.6
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Persons,15-29,Urban,26.3,26.3,26.3,26.3,1,,26.3,26.3,26.3,26.3,26.3
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Persons,15-59,Rural,52.3,52.3,52.3,52.3,1,,52.3,52.3,52.3,52.3,52.3
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Persons,15-59,Total,51.0,51.0,51.0,51.0,1,,51.0,51.0,51.0,51.0,51.0
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Persons,15-59,Urban,44.0,44.0,44.0,44.0,1,,44.0,44.0,44.0,44.0,44.0
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Persons,15 years and above,Rural,48.9,48.9,48.9,48.9,1,,48.9,48.9,48.9,48.9,48.9
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Persons,15 years and above,Total,47.6,47.6,47.6,47.6,1,,47.6,47.6,47.6,47.6,47.6
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Persons,15 years and above,Urban,41.0,41.0,41.0,41.0,1,,41.0,41.0,41.0,41.0,41.0
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Persons,all years,Rural,36.2,36.2,36.2,36.2,1,,36.2,36.2,36.2,36.2,36.2
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Persons,all years,Total,35.7,35.7,35.7,35.7,1,,35.7,35.7,35.7,35.7,35.7
India,Odisha,21,"Agriculture Year (Jul - Jun), 2018",Persons,all years,Urban,32.5,32.5,32.5,32.5,1,,32.5,32.5,32.5,32.5,32.5
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Female,15-29,Rural,28.1,28.1,28.1,28.1,1,,,28.1,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Female,15-29,Total,26.2,26.2,26.2,26.2,1,,,26.2,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Female,15-29,Urban,15.2,15.2,15.2,15.2,1,,,15.2,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Female,15-59,Rural,38.0,38.0,38.0,38.0,1,,,38.0,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Female,15-59,Total,35.7,35.7,35.7,35.7,1,,,35.7,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Female,15-59,Urban,23.7,23.7,23.7,23.7,1,,,23.7,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Female,15 years and above,Rural,33.6,33.6,33.6,33.6,1,,,33.6,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Female,15 years and above,Total,31.8,31.8,31.8,31.8,1,,,31.8,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Female,15 years and above,Urban,21.6,21.6,21.6,21.6,1,,,21.6,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Female,all years,Rural,26.3,26.3,26.3,26.3,1,,,26.3,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Female,all years,Total,24.9,24.9,24.9,24.9,1,,,24.9,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Female,all years,Urban,17.1,17.1,17.1,17.1,1,,,17.1,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Male,15-29,Rural,52.6,52.6,52.6,52.6,1,,,52.6,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Male,15-29,Total,51.1,51.1,51.1,51.1,1,,,51.1,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Male,15-29,Urban,43.2,43.2,43.2,43.2,1,,,43.2,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Male,15-59,Rural,78.8,78.8,78.8,78.8,1,,,78.8,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Male,15-59,Total,78.0,78.0,78.0,78.0,1,,,78.0,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Male,15-59,Urban,74.4,74.4,74.4,74.4,1,,,74.4,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Male,15 years and above,Rural,73.4,73.4,73.4,73.4,1,,,73.4,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Male,15 years and above,Total,72.7,72.7,72.7,72.7,1,,,72.7,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Male,15 years and above,Urban,68.9,68.9,68.9,68.9,1,,,68.9,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Male,all years,Rural,54.0,54.0,54.0,54.0,1,,,54.0,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Male,all years,Total,53.8,53.8,53.8,53.8,1,,,53.8,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Male,all years,Urban,52.9,52.9,52.9,52.9,1,,,52.9,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Persons,15-29,Rural,39.9,39.9,39.9,39.9,1,,39.9,39.9,39.9,39.9,39.9
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Persons,15-29,Total,38.3,38.3,38.3,38.3,1,,38.3,38.3,38.3,38.3,38.3
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Persons,15-29,Urban,29.7,29.7,29.7,29.7,1,,29.7,29.7,29.7,29.7,29.7
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Persons,15-59,Rural,57.9,57.9,57.9,57.9,1,,57.9,57.9,57.9,57.9,57.9
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Persons,15-59,Total,56.5,56.5,56.5,56.5,1,,56.5,56.5,56.5,56.5,56.5
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Persons,15-59,Urban,49.2,49.2,49.2,49.2,1,,49.2,49.2,49.2,49.2,49.2
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Persons,15 years and above,Rural,53.0,53.0,53.0,53.0,1,,53.0,53.0,53.0,53.0,53.0
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Persons,15 years and above,Total,51.9,51.9,51.9,51.9,1,,51.9,51.9,51.9,51.9,51.9
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Persons,15 years and above,Urban,45.4,45.4,45.4,45.4,1,,45.4,45.4,45.4,45.4,45.4
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Persons,all years,Rural,40.2,40.2,40.2,40.2,1,,40.2,40.2,40.2,40.2,40.2
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Persons,all years,Total,39.5,39.5,39.5,39.5,1,,39.5,39.5,39.5,39.5,39.5
India,Odisha,21,"Agriculture Year (Jul - Jun), 2019",Persons,all years,Urban,35.4,35.4,35.4,35.4,1,,35.4,35.4,35.4,35.4,35.4
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Female,15-29,Rural,23.1,23.1,23.1,23.1,1,,,23.1,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Female,15-29,Total,22.1,22.1,22.1,22.1,1,,,22.1,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Female,15-29,Urban,16.9,16.9,16.9,16.9,1,,,16.9,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Female,15-59,Rural,36.4,36.4,36.4,36.4,1,,,36.4,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Female,15-59,Total,34.6,34.6,34.6,34.6,1,,,34.6,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Female,15-59,Urban,24.7,24.7,24.7,24.7,1,,,24.7,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Female,15 years and above,Rural,33.9,33.9,33.9,33.9,1,,,33.9,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Female,15 years and above,Total,32.2,32.2,32.2,32.2,1,,,32.2,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Female,15 years and above,Urban,22.7,22.7,22.7,22.7,1,,,22.7,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Female,all years,Rural,26.8,26.8,26.8,26.8,1,,,26.8,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Female,all years,Total,25.5,25.5,25.5,25.5,1,,,25.5,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Female,all years,Urban,18.5,18.5,18.5,18.5,1,,,18.5,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Male,15-29,Rural,54.5,54.5,54.5,54.5,1,,,54.5,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Male,15-29,Total,53.1,53.1,53.1,53.1,1,,,53.1,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Male,15-29,Urban,46.1,46.1,46.1,46.1,1,,,46.1,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Male,15-59,Rural,79.7,79.7,79.7,79.7,1,,,79.7,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Male,15-59,Total,79.0,79.0,79.0,79.0,1,,,79.0,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Male,15-59,Urban,75.6,75.6,75.6,75.6,1,,,75.6,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Male,15 years and above,Rural,75.9,75.9,75.9,75.9,1,,,75.9,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Male,15 years and above,Total,75.1,75.1,75.1,75.1,1,,,75.1,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Male,15 years and above,Urban,70.9,70.9,70.9,70.9,1,,,70.9,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Male,all years,Rural,57.9,57.9,57.9,57.9,1,,,57.9,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Male,all years,Total,57.7,57.7,57.7,57.7,1,,,57.7,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Male,all years,Urban,56.6,56.6,56.6,56.6,1,,,56.6,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Persons,15-29,Rural,38.6,38.6,38.6,38.6,1,,38.6,38.6,38.6,38.6,38.6
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Persons,15-29,Total,37.5,37.5,37.5,37.5,1,,37.5,37.5,37.5,37.5,37.5
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Persons,15-29,Urban,32.2,32.2,32.2,32.2,1,,32.2,32.2,32.2,32.2,32.2
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Persons,15-59,Rural,57.6,57.6,57.6,57.6,1,,57.6,57.6,57.6,57.6,57.6
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Persons,15-59,Total,56.4,56.4,56.4,56.4,1,,56.4,56.4,56.4,56.4,56.4
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Persons,15-59,Urban,50.2,50.2,50.2,50.2,1,,50.2,50.2,50.2,50.2,50.2
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Persons,15 years and above,Rural,54.7,54.7,54.7,54.7,1,,54.7,54.7,54.7,54.7,54.7
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Persons,15 years and above,Total,53.5,53.5,53.5,53.5,1,,53.5,53.5,53.5,53.5,53.5
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Persons,15 years and above,Urban,47.0,47.0,47.0,47.0,1,,47.0,47.0,47.0,47.0,47.0
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Persons,all years,Rural,42.4,42.4,42.4,42.4,1,,42.4,42.4,42.4,42.4,42.4
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Persons,all years,Total,41.7,41.7,41.7,41.7,1,,41.7,41.7,41.7,41.7,41.7
India,Odisha,21,"Agriculture Year (Jul - Jun), 2020",Persons,all years,Urban,37.9,37.9,37.9,37.9,1,,37.9,37.9,37.9,37.9,37.9
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Female,15-29,Rural,24.1,24.1,24.1,24.1,1,,,24.1,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Female,15-29,Total,22.2,22.2,22.2,22.2,1,,,22.2,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Female,15-29,Urban,11.4,11.4,11.4,11.4,1,,,11.4,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Female,15-59,Rural,37.2,37.2,37.2,37.2,1,,,37.2,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Female,15-59,Total,34.7,34.7,34.7,34.7,1,,,34.7,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Female,15-59,Urban,20.1,20.1,20.1,20.1,1,,,20.1,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Female,15 years and above,Rural,33.6,33.6,33.6,33.6,1,,,33.6,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Female,15 years and above,Total,31.4,31.4,31.4,31.4,1,,,31.4,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Female,15 years and above,Urban,18.4,18.4,18.4,18.4,1,,,18.4,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Female,all years,Rural,25.6,25.6,25.6,25.6,1,,,25.6,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Female,all years,Total,24.1,24.1,24.1,24.1,1,,,24.1,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Female,all years,Urban,14.8,14.8,14.8,14.8,1,,,14.8,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Male,15-29,Rural,52.6,52.6,52.6,52.6,1,,,52.6,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Male,15-29,Total,51.3,51.3,51.3,51.3,1,,,51.3,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Male,15-29,Urban,44.7,44.7,44.7,44.7,1,,,44.7,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Male,15-59,Rural,79.1,79.1,79.1,79.1,1,,,79.1,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Male,15-59,Total,78.3,78.3,78.3,78.3,1,,,78.3,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Male,15-59,Urban,73.8,73.8,73.8,73.8,1,,,73.8,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Male,15 years and above,Rural,74.5,74.5,74.5,74.5,1,,,74.5,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Male,15 years and above,Total,73.6,73.6,73.6,73.6,1,,,73.6,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Male,15 years and above,Urban,68.7,68.7,68.7,68.7,1,,,68.7,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Male,all years,Rural,54.9,54.9,54.9,54.9,1,,,54.9,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Male,all years,Total,54.8,54.8,54.8,54.8,1,,,54.8,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Male,all years,Urban,54.2,54.2,54.2,54.2,1,,,54.2,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Persons,15-29,Rural,37.7,37.7,37.7,37.7,1,,37.7,37.7,37.7,37.7,37.7
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Persons,15-29,Total,36.3,36.3,36.3,36.3,1,,36.3,36.3,36.3,36.3,36.3
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Persons,15-29,Urban,28.2,28.2,28.2,28.2,1,,28.2,28.2,28.2,28.2,28.2
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Persons,15-59,Rural,57.7,57.7,57.7,57.7,1,,57.7,57.7,57.7,57.7,57.7
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Persons,15-59,Total,56.2,56.2,56.2,56.2,1,,56.2,56.2,56.2,56.2,56.2
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Persons,15-59,Urban,47.3,47.3,47.3,47.3,1,,47.3,47.3,47.3,47.3,47.3
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Persons,15 years and above,Rural,53.9,53.9,53.9,53.9,1,,53.9,53.9,53.9,53.9,53.9
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Persons,15 years and above,Total,52.4,52.4,52.4,52.4,1,,52.4,52.4,52.4,52.4,52.4
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Persons,15 years and above,Urban,43.9,43.9,43.9,43.9,1,,43.9,43.9,43.9,43.9,43.9
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Persons,all years,Rural,40.3,40.3,40.3,40.3,1,,40.3,40.3,40.3,40.3,40.3
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Persons,all years,Total,39.5,39.5,39.5,39.5,1,,39.5,39.5,39.5,39.5,39.5
India,Odisha,21,"Agriculture Year (Jul - Jun), 2021",Persons,all years,Urban,34.9,34.9,34.9,34.9,1,,34.9,34.9,34.9,34.9,34.9
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Female,15-29,Rural,35.7,35.7,35.7,35.7,1,,,35.7,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Female,15-29,Total,33.0,33.0,33.0,33.0,1,,,33.0,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Female,15-29,Urban,16.6,16.6,16.6,16.6,1,,,16.6,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Female,15-59,Rural,51.4,51.4,51.4,51.4,1,,,51.4,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Female,15-59,Total,48.1,48.1,48.1,48.1,1,,,48.1,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Female,15-59,Urban,28.6,28.6,28.6,28.6,1,,,28.6,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Female,15 years and above,Rural,46.5,46.5,46.5,46.5,1,,,46.5,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Female,15 years and above,Total,43.6,43.6,43.6,43.6,1,,,43.6,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Female,15 years and above,Urban,25.9,25.9,25.9,25.9,1,,,25.9,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Female,all years,Rural,35.2,35.2,35.2,35.2,1,,,35.2,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Female,all years,Total,33.2,33.2,33.2,33.2,1,,,33.2,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Female,all years,Urban,20.4,20.4,20.4,20.4,1,,,20.4,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Male,15-29,Rural,53.6,53.6,53.6,53.6,1,,,53.6,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Male,15-29,Total,51.7,51.7,51.7,51.7,1,,,51.7,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Male,15-29,Urban,42.3,42.3,42.3,42.3,1,,,42.3,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Male,15-59,Rural,81.2,81.2,81.2,81.2,1,,,81.2,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Male,15-59,Total,80.1,80.1,80.1,80.1,1,,,80.1,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Male,15-59,Urban,74.8,74.8,74.8,74.8,1,,,74.8,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Male,15 years and above,Rural,75.5,75.5,75.5,75.5,1,,,75.5,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Male,15 years and above,Total,74.4,74.4,74.4,74.4,1,,,74.4,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Male,15 years and above,Urban,68.8,68.8,68.8,68.8,1,,,68.8,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Male,all years,Rural,56.0,56.0,56.0,56.0,1,,,56.0,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Male,all years,Total,55.8,55.8,55.8,55.8,1,,,55.8,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Male,all years,Urban,54.2,54.2,54.2,54.2,1,,,54.2,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Persons,15-29,Rural,44.4,44.4,44.4,44.4,1,,44.4,44.4,44.4,44.4,44.4
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Persons,15-29,Total,42.2,42.2,42.2,42.2,1,,42.2,42.2,42.2,42.2,42.2
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Persons,15-29,Urban,30.4,30.4,30.4,30.4,1,,30.4,30.4,30.4,30.4,30.4
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Persons,15-59,Rural,65.8,65.8,65.8,65.8,1,,65.8,65.8,65.8,65.8,65.8
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Persons,15-59,Total,63.8,63.8,63.8,63.8,1,,63.8,63.8,63.8,63.8,63.8
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Persons,15-59,Urban,52.5,52.5,52.5,52.5,1,,52.5,52.5,52.5,52.5,52.5
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Persons,15 years and above,Rural,60.7,60.7,60.7,60.7,1,,60.7,60.7,60.7,60.7,60.7
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Persons,15 years and above,Total,58.9,58.9,58.9,58.9,1,,58.9,58.9,58.9,58.9,58.9
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Persons,15 years and above,Urban,48.3,48.3,48.3,48.3,1,,48.3,48.3,48.3,48.3,48.3
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Persons,all years,Rural,45.5,45.5,45.5,45.5,1,,45.5,45.5,45.5,45.5,45.5
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Persons,all years,Total,44.4,44.4,44.4,44.4,1,,44.4,44.4,44.4,44.4,44.4
India,Odisha,21,"Agriculture Year (Jul - Jun), 2022",Persons,all years,Urban,38.0,38.0,38.0,38.0,1,,38.0,38.0,38.0,38.0,38.0
India,Odisha,21,"Agriculture Year (Jul - Jun), 2023",Female,15-29,Rural,36.3,36.3,36.3,36.3,1,,,36.3,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2023",Female,15-29,Total,33.7,33.7,33.7,33.7,1,,,33.7,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2023",Female,15-29,Urban,18.8,18.8,18.8,18.8,1,,,18.8,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2023",Female,15-59,Rural,55.9,55.9,55.9,55.9,1,,,55.9,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2023",Female,15-59,Total,51.9,51.9,51.9,51.9,1,,,51.9,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2023",Female,15-59,Urban,29.9,29.9,29.9,29.9,1,,,29.9,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2023",Female,15 years and above,Rural,51.5,51.5,51.5,51.5,1,,,51.5,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2023",Female,15 years and above,Total,48.0,48.0,48.0,48.0,1,,,48.0,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2023",Female,15 years and above,Urban,27.8,27.8,27.8,27.8,1,,,27.8,,,
India,Odisha,21,"Agriculture Year (Jul - Jun), 2023",Female,all years,Rural,39.4,39.4,39.4,39.4,1,,,39.4,,,
