Country,Year,Type of industry of work,Type of area,Gender,Status of employment,Percentage distribution of workers_avg,Percentage distribution of workers_max,Percentage distribution of workers_min,Percentage distribution of workers_sum,Percentage distribution of workers_count,Percentage distribution of workers_stddev,Percentage distribution of workers_LandAreaWeight,Percentage distribution of workers_TotalPopulationWeight,Percentage distribution of workers_NumberOfHouseholdsWeight,Percentage distribution of workers_TotalPopulationMaleWeight,Percentage distribution of workers_TotalPopulationFemaleWeight
India,"Agriculture Year (Jul - Jun), 2019",55-56 (accommodation & food services),Rural+Urban,Male,"Self-Employed own account worker, employer",46.1,46.1,46.1,46.1,1,,46.1,46.1,46.1,46.1,46.1
India,"Agriculture Year (Jul - Jun), 2019",55-56 (accommodation & food services),Rural+Urban,Persons,All self employed,54.5,54.5,54.5,54.5,1,,54.5,54.5,54.5,54.5,54.5
India,"Agriculture Year (Jul - Jun), 2019",55-56 (accommodation & food services),Rural+Urban,Persons,Casual labour,11.8,11.8,11.8,11.8,1,,11.8,11.8,11.8,11.8,11.8
India,"Agriculture Year (Jul - Jun), 2019",55-56 (accommodation & food services),Rural+Urban,Persons,Regular wage/salary,33.7,33.7,33.7,33.7,1,,33.7,33.7,33.7,33.7,33.7
India,"Agriculture Year (Jul - Jun), 2019",55-56 (accommodation & food services),Rural+Urban,Persons,Self-Employed helper in hoursehold enterprise,11.6,11.6,11.6,11.6,1,,11.6,11.6,11.6,11.6,11.6
India,"Agriculture Year (Jul - Jun), 2019",55-56 (accommodation & food services),Rural+Urban,Persons,"Self-Employed own account worker, employer",42.9,42.9,42.9,42.9,1,,42.9,42.9,42.9,42.9,42.9
India,"Agriculture Year (Jul - Jun), 2019",55-56 (accommodation & food services),Urban,Female,All self employed,57.1,57.1,57.1,57.1,1,,57.1,57.1,57.1,57.1,57.1
India,"Agriculture Year (Jul - Jun), 2019",55-56 (accommodation & food services),Urban,Female,Casual labour,12.5,12.5,12.5,12.5,1,,12.5,12.5,12.5,12.5,12.5
India,"Agriculture Year (Jul - Jun), 2019",55-56 (accommodation & food services),Urban,Female,Regular wage/salary,30.4,30.4,30.4,30.4,1,,30.4,30.4,30.4,30.4,30.4
India,"Agriculture Year (Jul - Jun), 2019",55-56 (accommodation & food services),Urban,Female,Self-Employed helper in hoursehold enterprise,27.5,27.5,27.5,27.5,1,,27.5,27.5,27.5,27.5,27.5
India,"Agriculture Year (Jul - Jun), 2019",55-56 (accommodation & food services),Urban,Female,"Self-Employed own account worker, employer",29.6,29.6,29.6,29.6,1,,29.6,29.6,29.6,29.6,29.6
India,"Agriculture Year (Jul - Jun), 2019",55-56 (accommodation & food services),Urban,Male,All self employed,47.9,47.9,47.9,47.9,1,,47.9,47.9,47.9,47.9,47.9
India,"Agriculture Year (Jul - Jun), 2019",55-56 (accommodation & food services),Urban,Male,Casual labour,10.9,10.9,10.9,10.9,1,,10.9,10.9,10.9,10.9,10.9
India,"Agriculture Year (Jul - Jun), 2019",55-56 (accommodation & food services),Urban,Male,Regular wage/salary,41.2,41.2,41.2,41.2,1,,41.2,41.2,41.2,41.2,41.2
India,"Agriculture Year (Jul - Jun), 2019",55-56 (accommodation & food services),Urban,Male,Self-Employed helper in hoursehold enterprise,7.0,7.0,7.0,7.0,1,,7.0,7.0,7.0,7.0,7.0
India,"Agriculture Year (Jul - Jun), 2019",55-56 (accommodation & food services),Urban,Male,"Self-Employed own account worker, employer",41.0,41.0,41.0,41.0,1,,41.0,41.0,41.0,41.0,41.0
India,"Agriculture Year (Jul - Jun), 2019",55-56 (accommodation & food services),Urban,Persons,All self employed,49.6,49.6,49.6,49.6,1,,49.6,49.6,49.6,49.6,49.6
India,"Agriculture Year (Jul - Jun), 2019",55-56 (accommodation & food services),Urban,Persons,Casual labour,11.2,11.2,11.2,11.2,1,,11.2,11.2,11.2,11.2,11.2
India,"Agriculture Year (Jul - Jun), 2019",55-56 (accommodation & food services),Urban,Persons,Regular wage/salary,39.2,39.2,39.2,39.2,1,,39.2,39.2,39.2,39.2,39.2
India,"Agriculture Year (Jul - Jun), 2019",55-56 (accommodation & food services),Urban,Persons,Self-Employed helper in hoursehold enterprise,10.7,10.7,10.7,10.7,1,,10.7,10.7,10.7,10.7,10.7
India,"Agriculture Year (Jul - Jun), 2019",55-56 (accommodation & food services),Urban,Persons,"Self-Employed own account worker, employer",38.9,38.9,38.9,38.9,1,,38.9,38.9,38.9,38.9,38.9
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Rural,Female,All self employed,10.3,10.3,10.3,10.3,1,,10.3,10.3,10.3,10.3,10.3
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Rural,Female,Casual labour,2.4,2.4,2.4,2.4,1,,2.4,2.4,2.4,2.4,2.4
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Rural,Female,Regular wage/salary,87.3,87.3,87.3,87.3,1,,87.3,87.3,87.3,87.3,87.3
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Rural,Female,Self-Employed helper in hoursehold enterprise,1.9,1.9,1.9,1.9,1,,1.9,1.9,1.9,1.9,1.9
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Rural,Female,"Self-Employed own account worker, employer",8.4,8.4,8.4,8.4,1,,8.4,8.4,8.4,8.4,8.4
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Rural,Male,All self employed,30.8,30.8,30.8,30.8,1,,30.8,30.8,30.8,30.8,30.8
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Rural,Male,Casual labour,4.4,4.4,4.4,4.4,1,,4.4,4.4,4.4,4.4,4.4
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Rural,Male,Regular wage/salary,64.8,64.8,64.8,64.8,1,,64.8,64.8,64.8,64.8,64.8
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Rural,Male,Self-Employed helper in hoursehold enterprise,1.7,1.7,1.7,1.7,1,,1.7,1.7,1.7,1.7,1.7
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Rural,Male,"Self-Employed own account worker, employer",29.1,29.1,29.1,29.1,1,,29.1,29.1,29.1,29.1,29.1
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Rural,Persons,All self employed,24.6,24.6,24.6,24.6,1,,24.6,24.6,24.6,24.6,24.6
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Rural,Persons,Casual labour,3.8,3.8,3.8,3.8,1,,3.8,3.8,3.8,3.8,3.8
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Rural,Persons,Regular wage/salary,71.6,71.6,71.6,71.6,1,,71.6,71.6,71.6,71.6,71.6
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Rural,Persons,Self-Employed helper in hoursehold enterprise,1.8,1.8,1.8,1.8,1,,1.8,1.8,1.8,1.8,1.8
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Rural,Persons,"Self-Employed own account worker, employer",22.8,22.8,22.8,22.8,1,,22.8,22.8,22.8,22.8,22.8
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Rural+Urban,Female,All self employed,12.8,12.8,12.8,12.8,1,,12.8,12.8,12.8,12.8,12.8
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Rural+Urban,Female,Casual labour,1.8,1.8,1.8,1.8,1,,1.8,1.8,1.8,1.8,1.8
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Rural+Urban,Female,Regular wage/salary,85.4,85.4,85.4,85.4,1,,85.4,85.4,85.4,85.4,85.4
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Rural+Urban,Female,Self-Employed helper in hoursehold enterprise,2.2,2.2,2.2,2.2,1,,2.2,2.2,2.2,2.2,2.2
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Rural+Urban,Female,"Self-Employed own account worker, employer",10.6,10.6,10.6,10.6,1,,10.6,10.6,10.6,10.6,10.6
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Rural+Urban,Male,All self employed,27.5,27.5,27.5,27.5,1,,27.5,27.5,27.5,27.5,27.5
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Rural+Urban,Male,Casual labour,3.0,3.0,3.0,3.0,1,,3.0,3.0,3.0,3.0,3.0
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Rural+Urban,Male,Regular wage/salary,69.5,69.5,69.5,69.5,1,,69.5,69.5,69.5,69.5,69.5
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Rural+Urban,Male,Self-Employed helper in hoursehold enterprise,1.5,1.5,1.5,1.5,1,,1.5,1.5,1.5,1.5,1.5
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Rural+Urban,Male,"Self-Employed own account worker, employer",26.0,26.0,26.0,26.0,1,,26.0,26.0,26.0,26.0,26.0
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Rural+Urban,Persons,All self employed,22.6,22.6,22.6,22.6,1,,22.6,22.6,22.6,22.6,22.6
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Rural+Urban,Persons,Casual labour,2.6,2.6,2.6,2.6,1,,2.6,2.6,2.6,2.6,2.6
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Rural+Urban,Persons,Regular wage/salary,74.7,74.7,74.7,74.7,1,,74.7,74.7,74.7,74.7,74.7
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Rural+Urban,Persons,Self-Employed helper in hoursehold enterprise,1.8,1.8,1.8,1.8,1,,1.8,1.8,1.8,1.8,1.8
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Rural+Urban,Persons,"Self-Employed own account worker, employer",20.9,20.9,20.9,20.9,1,,20.9,20.9,20.9,20.9,20.9
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Urban,Female,All self employed,14.3,14.3,14.3,14.3,1,,14.3,14.3,14.3,14.3,14.3
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Urban,Female,Casual labour,1.4,1.4,1.4,1.4,1,,1.4,1.4,1.4,1.4,1.4
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Urban,Female,Regular wage/salary,84.3,84.3,84.3,84.3,1,,84.3,84.3,84.3,84.3,84.3
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Urban,Female,Self-Employed helper in hoursehold enterprise,2.4,2.4,2.4,2.4,1,,2.4,2.4,2.4,2.4,2.4
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Urban,Female,"Self-Employed own account worker, employer",11.9,11.9,11.9,11.9,1,,11.9,11.9,11.9,11.9,11.9
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Urban,Male,All self employed,25.1,25.1,25.1,25.1,1,,25.1,25.1,25.1,25.1,25.1
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Urban,Male,Casual labour,2.0,2.0,2.0,2.0,1,,2.0,2.0,2.0,2.0,2.0
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Urban,Male,Regular wage/salary,72.9,72.9,72.9,72.9,1,,72.9,72.9,72.9,72.9,72.9
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Urban,Male,Self-Employed helper in hoursehold enterprise,1.4,1.4,1.4,1.4,1,,1.4,1.4,1.4,1.4,1.4
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Urban,Male,"Self-Employed own account worker, employer",23.7,23.7,23.7,23.7,1,,23.7,23.7,23.7,23.7,23.7
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Urban,Persons,All self employed,21.3,21.3,21.3,21.3,1,,21.3,21.3,21.3,21.3,21.3
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Urban,Persons,Casual labour,1.8,1.8,1.8,1.8,1,,1.8,1.8,1.8,1.8,1.8
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Urban,Persons,Regular wage/salary,76.9,76.9,76.9,76.9,1,,76.9,76.9,76.9,76.9,76.9
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Urban,Persons,Self-Employed helper in hoursehold enterprise,1.7,1.7,1.7,1.7,1,,1.7,1.7,1.7,1.7,1.7
India,"Agriculture Year (Jul - Jun), 2019",58-99 (other services),Urban,Persons,"Self-Employed own account worker, employer",19.6,19.6,19.6,19.6,1,,19.6,19.6,19.6,19.6,19.6
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Rural,Female,All self employed,73.2,73.2,73.2,73.2,1,,73.2,73.2,73.2,73.2,73.2
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Rural,Female,Casual labour,25.6,25.6,25.6,25.6,1,,25.6,25.6,25.6,25.6,25.6
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Rural,Female,Regular wage/salary,1.1,1.1,1.1,1.1,1,,1.1,1.1,1.1,1.1,1.1
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Rural,Female,Self-Employed helper in hoursehold enterprise,53.3,53.3,53.3,53.3,1,,53.3,53.3,53.3,53.3,53.3
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Rural,Female,"Self-Employed own account worker, employer",19.9,19.9,19.9,19.9,1,,19.9,19.9,19.9,19.9,19.9
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Rural,Male,All self employed,78.3,78.3,78.3,78.3,1,,78.3,78.3,78.3,78.3,78.3
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Rural,Male,Casual labour,20.2,20.2,20.2,20.2,1,,20.2,20.2,20.2,20.2,20.2
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Rural,Male,Regular wage/salary,1.4,1.4,1.4,1.4,1,,1.4,1.4,1.4,1.4,1.4
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Rural,Male,Self-Employed helper in hoursehold enterprise,18.0,18.0,18.0,18.0,1,,18.0,18.0,18.0,18.0,18.0
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Rural,Male,"Self-Employed own account worker, employer",60.4,60.4,60.4,60.4,1,,60.4,60.4,60.4,60.4,60.4
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Rural,Persons,All self employed,76.3,76.3,76.3,76.3,1,,76.3,76.3,76.3,76.3,76.3
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Rural,Persons,Casual labour,22.4,22.4,22.4,22.4,1,,22.4,22.4,22.4,22.4,22.4
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Rural,Persons,Regular wage/salary,1.3,1.3,1.3,1.3,1,,1.3,1.3,1.3,1.3,1.3
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Rural,Persons,Self-Employed helper in hoursehold enterprise,32.1,32.1,32.1,32.1,1,,32.1,32.1,32.1,32.1,32.1
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Rural,Persons,"Self-Employed own account worker, employer",44.2,44.2,44.2,44.2,1,,44.2,44.2,44.2,44.2,44.2
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Rural+Urban,Female,All self employed,72.9,72.9,72.9,72.9,1,,72.9,72.9,72.9,72.9,72.9
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Rural+Urban,Female,Casual labour,25.9,25.9,25.9,25.9,1,,25.9,25.9,25.9,25.9,25.9
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Rural+Urban,Female,Regular wage/salary,1.1,1.1,1.1,1.1,1,,1.1,1.1,1.1,1.1,1.1
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Rural+Urban,Female,Self-Employed helper in hoursehold enterprise,52.8,52.8,52.8,52.8,1,,52.8,52.8,52.8,52.8,52.8
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Rural+Urban,Female,"Self-Employed own account worker, employer",20.2,20.2,20.2,20.2,1,,20.2,20.2,20.2,20.2,20.2
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Rural+Urban,Male,All self employed,78.2,78.2,78.2,78.2,1,,78.2,78.2,78.2,78.2,78.2
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Rural+Urban,Male,Casual labour,20.2,20.2,20.2,20.2,1,,20.2,20.2,20.2,20.2,20.2
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Rural+Urban,Male,Regular wage/salary,1.6,1.6,1.6,1.6,1,,1.6,1.6,1.6,1.6,1.6
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Rural+Urban,Male,Self-Employed helper in hoursehold enterprise,17.8,17.8,17.8,17.8,1,,17.8,17.8,17.8,17.8,17.8
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Rural+Urban,Male,"Self-Employed own account worker, employer",60.4,60.4,60.4,60.4,1,,60.4,60.4,60.4,60.4,60.4
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Rural+Urban,Persons,All self employed,76.1,76.1,76.1,76.1,1,,76.1,76.1,76.1,76.1,76.1
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Rural+Urban,Persons,Casual labour,22.5,22.5,22.5,22.5,1,,22.5,22.5,22.5,22.5,22.5
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Rural+Urban,Persons,Regular wage/salary,1.4,1.4,1.4,1.4,1,,1.4,1.4,1.4,1.4,1.4
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Rural+Urban,Persons,Self-Employed helper in hoursehold enterprise,31.7,31.7,31.7,31.7,1,,31.7,31.7,31.7,31.7,31.7
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Rural+Urban,Persons,"Self-Employed own account worker, employer",44.4,44.4,44.4,44.4,1,,44.4,44.4,44.4,44.4,44.4
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Urban,Female,All self employed,65.5,65.5,65.5,65.5,1,,65.5,65.5,65.5,65.5,65.5
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Urban,Female,Casual labour,33.9,33.9,33.9,33.9,1,,33.9,33.9,33.9,33.9,33.9
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Urban,Female,Regular wage/salary,0.7,0.7,0.7,0.7,1,,0.7,0.7,0.7,0.7,0.7
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Urban,Female,Self-Employed helper in hoursehold enterprise,38.5,38.5,38.5,38.5,1,,38.5,38.5,38.5,38.5,38.5
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Urban,Female,"Self-Employed own account worker, employer",26.9,26.9,26.9,26.9,1,,26.9,26.9,26.9,26.9,26.9
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Urban,Male,All self employed,75.6,75.6,75.6,75.6,1,,75.6,75.6,75.6,75.6,75.6
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Urban,Male,Casual labour,19.4,19.4,19.4,19.4,1,,19.4,19.4,19.4,19.4,19.4
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Urban,Male,Regular wage/salary,5.0,5.0,5.0,5.0,1,,5.0,5.0,5.0,5.0,5.0
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Urban,Male,Self-Employed helper in hoursehold enterprise,14.0,14.0,14.0,14.0,1,,14.0,14.0,14.0,14.0,14.0
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Urban,Male,"Self-Employed own account worker, employer",61.6,61.6,61.6,61.6,1,,61.6,61.6,61.6,61.6,61.6
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Urban,Persons,All self employed,71.9,71.9,71.9,71.9,1,,71.9,71.9,71.9,71.9,71.9
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Urban,Persons,Casual labour,24.7,24.7,24.7,24.7,1,,24.7,24.7,24.7,24.7,24.7
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Urban,Persons,Regular wage/salary,3.4,3.4,3.4,3.4,1,,3.4,3.4,3.4,3.4,3.4
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Urban,Persons,Self-Employed helper in hoursehold enterprise,23.0,23.0,23.0,23.0,1,,23.0,23.0,23.0,23.0,23.0
India,"Agriculture Year (Jul - Jun), 2020",01-03 (agriculture),Urban,Persons,"Self-Employed own account worker, employer",48.9,48.9,48.9,48.9,1,,48.9,48.9,48.9,48.9,48.9
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Rural,Female,All self employed,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Rural,Female,Casual labour,58.9,58.9,58.9,58.9,1,,58.9,58.9,58.9,58.9,58.9
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Rural,Female,Regular wage/salary,41.1,41.1,41.1,41.1,1,,41.1,41.1,41.1,41.1,41.1
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Rural,Female,Self-Employed helper in hoursehold enterprise,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Rural,Female,"Self-Employed own account worker, employer",0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Rural,Male,All self employed,13.6,13.6,13.6,13.6,1,,13.6,13.6,13.6,13.6,13.6
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Rural,Male,Casual labour,54.1,54.1,54.1,54.1,1,,54.1,54.1,54.1,54.1,54.1
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Rural,Male,Regular wage/salary,32.3,32.3,32.3,32.3,1,,32.3,32.3,32.3,32.3,32.3
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Rural,Male,Self-Employed helper in hoursehold enterprise,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Rural,Male,"Self-Employed own account worker, employer",13.6,13.6,13.6,13.6,1,,13.6,13.6,13.6,13.6,13.6
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Rural,Persons,All self employed,12.6,12.6,12.6,12.6,1,,12.6,12.6,12.6,12.6,12.6
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Rural,Persons,Casual labour,54.5,54.5,54.5,54.5,1,,54.5,54.5,54.5,54.5,54.5
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Rural,Persons,Regular wage/salary,32.9,32.9,32.9,32.9,1,,32.9,32.9,32.9,32.9,32.9
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Rural,Persons,Self-Employed helper in hoursehold enterprise,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Rural,Persons,"Self-Employed own account worker, employer",12.6,12.6,12.6,12.6,1,,12.6,12.6,12.6,12.6,12.6
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Rural+Urban,Female,All self employed,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Rural+Urban,Female,Casual labour,53.2,53.2,53.2,53.2,1,,53.2,53.2,53.2,53.2,53.2
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Rural+Urban,Female,Regular wage/salary,46.8,46.8,46.8,46.8,1,,46.8,46.8,46.8,46.8,46.8
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Rural+Urban,Female,Self-Employed helper in hoursehold enterprise,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Rural+Urban,Female,"Self-Employed own account worker, employer",0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Rural+Urban,Male,All self employed,15.0,15.0,15.0,15.0,1,,15.0,15.0,15.0,15.0,15.0
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Rural+Urban,Male,Casual labour,38.8,38.8,38.8,38.8,1,,38.8,38.8,38.8,38.8,38.8
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Rural+Urban,Male,Regular wage/salary,46.3,46.3,46.3,46.3,1,,46.3,46.3,46.3,46.3,46.3
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Rural+Urban,Male,Self-Employed helper in hoursehold enterprise,1.0,1.0,1.0,1.0,1,,1.0,1.0,1.0,1.0,1.0
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Rural+Urban,Male,"Self-Employed own account worker, employer",13.9,13.9,13.9,13.9,1,,13.9,13.9,13.9,13.9,13.9
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Rural+Urban,Persons,All self employed,14.0,14.0,14.0,14.0,1,,14.0,14.0,14.0,14.0,14.0
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Rural+Urban,Persons,Casual labour,39.7,39.7,39.7,39.7,1,,39.7,39.7,39.7,39.7,39.7
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Rural+Urban,Persons,Regular wage/salary,46.3,46.3,46.3,46.3,1,,46.3,46.3,46.3,46.3,46.3
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Rural+Urban,Persons,Self-Employed helper in hoursehold enterprise,1.0,1.0,1.0,1.0,1,,1.0,1.0,1.0,1.0,1.0
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Rural+Urban,Persons,"Self-Employed own account worker, employer",13.0,13.0,13.0,13.0,1,,13.0,13.0,13.0,13.0,13.0
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Urban,Female,All self employed,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Urban,Female,Casual labour,33.0,33.0,33.0,33.0,1,,33.0,33.0,33.0,33.0,33.0
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Urban,Female,Regular wage/salary,67.0,67.0,67.0,67.0,1,,67.0,67.0,67.0,67.0,67.0
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Urban,Female,Self-Employed helper in hoursehold enterprise,0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Urban,Female,"Self-Employed own account worker, employer",0.0,0.0,0.0,0.0,1,,0.0,0.0,0.0,0.0,0.0
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Urban,Male,All self employed,17.7,17.7,17.7,17.7,1,,17.7,17.7,17.7,17.7,17.7
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Urban,Male,Casual labour,8.2,8.2,8.2,8.2,1,,8.2,8.2,8.2,8.2,8.2
India,"Agriculture Year (Jul - Jun), 2020",05-09 (mining & quarrying),Urban,Male,Regular wage/salary,74.1,74.1,74.1,74.1,1,,74.1,74.1,74.1,74.1,74.1
